ID	YourLanguageWord	YourLanguageExplanation	LanguageYouLearnWord	LanguageYouLearnPronunciation	LanguageYouLearnExplanation	Tags
ed571bb8-ec4f-4be2-be78-64508864c0ad	a	Hiragana.	あ			
f9091fd3-b747-4de9-b0d1-b3d244ce8e1a	i	Hiragana.	い			
66065a9a-adc9-4af0-8f24-b6b262140944	u	Hiragana.	う			
1e7460ca-7d56-4a1b-8dca-03bdea89abdf	e	Hiragana.	え			
3a109edb-5b0d-4f6c-b96e-cdf112326f17	o	Hiragana.	お			
9fce80f3-8331-4afe-b0c4-22fc6f2f8de9	ka	Hiragana.	か			
bf1bb6ef-2458-47d4-b5b8-7e886626ecbe	ki	Hiragana.	き			
201cc943-4793-46b3-83ac-67af1b075330	ku	Hiragana.	く			
c4c58a85-bcba-4ba5-9134-dbdbfd74fee7	ke	Hiragana.	け			
bbacd8f3-50d7-4325-9556-91a219be63ac	ko	Hiragana.	こ			
112a4682-a700-4e6b-8c5d-3602125d9f60	sa	Hiragana.	さ			
66c4d89a-b3d2-4986-9582-ed1aeab22e5e	shi	Hiragana.	し			
59d0bc06-1b02-4658-ad3c-dd3be0fcf20b	su	Hiragana.	す			
de54be5b-550e-4f38-a9e4-2646cf70886f	se	Hiragana.	せ			
51c6a43f-6221-41a6-855c-7ad24e1fbfcf	so	Hiragana.	そ			
4aeac811-b2da-40ec-8095-816a2610ee27	ta	Hiragana.	た			
c992ac75-e3b8-4878-8a53-6582123f0340	chi	Hiragana.	ち			
e4bfb97d-79ad-436e-91b4-99f3a09d0ee4	tsu	Hiragana.	つ			
ea0df632-fcef-45a2-9cde-96c684770ef4	te	Hiragana.	て			
a2a6e001-221b-482b-8cf5-90e94fedbe29	to	Hiragana.	と			
2db9f35e-a3ef-41ee-bf13-287ee7bcfed5	na	Hiragana.	な			
9ceb8026-66ee-4477-9dad-465495013be3	ni	Hiragana.	に			
c78d1c06-0e0c-489d-94ba-a0d87800ea09	nu	Hiragana.	ぬ			
8eba59c2-45ff-4b18-a4ab-0da3088b67b9	ne	Hiragana.	ね			
d282a5ca-3adb-4ee7-ba51-a2f460b06f8b	no	Hiragana.	の			
b4aa6e3c-19f6-4709-8141-b10995882233	ha	Hiragana.	は			
459d3739-8873-49e7-8c18-42ea049552a6	hi	Hiragana.	ひ			
2c3ddd78-d560-4919-9fbe-024d26ae0056	fu	Hiragana.	ふ			
ea1fe125-d021-4d92-90a6-09c9c3382efa	he	Hiragana.	へ			
df457278-1e76-4fe4-bfdb-a266940bc77b	ho	Hiragana.	ほ			
48835872-1e1c-4f61-a567-a44c73cc37ee	ma	Hiragana.	ま			
e423b0ac-b071-470f-8185-76806607a085	mi	Hiragana.	み			
020614ef-b51e-4bbc-859a-3759cea20b8f	mu	Hiragana.	む			
651d77d6-99a5-4f80-b0e1-63035321958a	me	Hiragana.	め			
7ad10121-4344-4f43-a46c-8df283fcea73	mo	Hiragana.	も			
77658f58-1819-4f52-b03c-a34065e7be40	ra	Hiragana.	ら			
3ac3e960-1d79-44dc-a61f-2ad21fe3066d	ri	Hiragana.	り		Sometimes written with a connection between the two strokes (like a big lower "n").	
79318d56-1f68-42b0-a098-8ee6e6cfa636	ru	Hiragana.	る			
6b32087c-932b-4c8f-95ee-75cd02870b09	re	Hiragana.	れ			
1d96ab15-22ef-420a-8d84-d2dbc43b5e60	ro	Hiragana.	ろ			
1014b9e1-c9f6-4ce1-b594-eeb676b503d9	wa	Hiragana.	わ			
29784c34-4dc7-4ad0-b92a-f758a782969a	wo	Hiragana.	を			
4cc7e85a-fbb7-43ea-a1e8-3e46c2f42194	n	Hiragana.	ん			
096d66c3-1180-47ee-a512-d3e39f8e7a2b	ya	Hiragana.	や			
d969320d-0ecf-4ee1-b844-3aeec9dca13f	yu	Hiragana.	ゆ			
e7844b8f-1fc0-4493-b682-2d659a0f77b4	yo	Hiragana.	よ			
c41f887d-3ea3-42a5-8df8-7187f5ec7d73	ga	Hiragana.	が			
14202519-60a9-4e90-8281-1cfd5da4a0d5	gi	Hiragana.	ぎ			
e0895029-908e-4e09-9f5e-0788e0d1c96d	gu	Hiragana.	ぐ			
e7617d86-5f56-4ca8-a147-4d0f82f4d98b	ge	Hiragana.	げ			
88f9709f-9c28-4747-8a44-ea80e1fe2dd0	go	Hiragana.	ご			
1fe156a6-1b12-4696-9fc9-12a23f4e2021	za	Hiragana.	ざ			
10bebfc2-1707-469d-82ea-b31e64d81dcd	ji	Hiragana.	じ			
fb5f0f54-1075-4057-9a23-b0d856bfd8db	zu	Hiragana.	ず			
70123f27-43c3-45e0-90ae-e2d9279c9e97	ze	Hiragana.	ぜ			
59335506-4780-4f07-ad04-3c8fb7d347b2	zo	Hiragana.	ぞ			
c9103c8d-ead4-4ad9-b86b-ec8dfc679e16	da	Hiragana.	だ			
6aedb8e7-6985-4b7f-9f50-3a87862b2f46	ji	Hiragana.	ぢ			
c79ea05a-4809-4632-b252-9627ec857989	zu	Hiragana.	づ			
e9f4d607-7910-4ae1-8783-65a3fc3d20d2	de	Hiragana.	で			
4a2e3a46-17d9-48e3-829a-9b32a168547a	do	Hiragana.	ど			
6871ff7a-3578-4114-868e-c1e5aa762962	ba	Hiragana.	ば			
0fdfe34d-e3db-4200-a7d5-31ec88aa68de	bi	Hiragana.	び			
1a3bd21c-04d4-4e9c-966e-839ef8fd58f3	bu	Hiragana.	ぶ			
08a2d008-e2ed-4a80-9e1a-aa19b7bf29ea	be	Hiragana.	べ			
38ecb6a8-3c43-4d4c-81ee-72d7f39275b9	bo	Hiragana.	ぼ			
3e2211de-4d42-400e-a43c-fecd2940cb7d	pa	Hiragana.	ぱ			
ee117ddb-25d2-4ac9-972e-5110600a472b	pi	Hiragana.	ぴ			
d4a28741-bfc5-47ba-9c82-34da25154a0f	pu	Hiragana.	ぷ			
39db80c7-9bf1-4163-b3a1-2484e360d44d	pe	Hiragana.	ぺ			
47ba0b3b-adea-42ae-9c14-89212d3e9b47	po	Hiragana.	ぽ			
d88dc3dd-a26f-4386-a32b-59f0e4b33675	kya	Hiragana.	きゃ			
6ba011a3-bee6-496a-968e-9a1c0c9a4a4b	kyu	Hiragana.	きゅ			
119f1cb0-f8bb-4047-80cb-7a77c55c23ee	kyo	Hiragana.	きょ			
23ee8042-1507-49c4-be0b-8cd701fad66c	sha	Hiragana.	しゃ			
cb88e2bf-06aa-4851-8d57-25b47972c881	shu	Hiragana.	しゅ			
56daefb1-0421-4d97-af76-0e145a79b0a4	sho	Hiragana.	しょ			
ea39942e-b458-4940-9d2d-28224ea40a9d	cha	Hiragana.	ちゃ			
f08094b7-67bd-4dc4-94a8-8f0c62969d1a	chu	Hiragana.	ちゅ			
e0e8f51c-5317-4c0b-b498-2835a2421f4e	cho	Hiragana.	ちょ			
c510e0b9-a51e-4297-b9e1-d35b156aea42	nya	Hiragana.	にゃ			
a6ca2b68-5149-42d6-a59c-00d2a4f696c6	nyu	Hiragana.	にゅ			
de024b5c-3a20-4865-850c-dcc120b7cd11	nyo	Hiragana.	にょ			
aa9ebaf7-eb55-4c23-9d76-849377e96454	hya	Hiragana.	ひゃ			
b7919816-d93e-405f-815b-db15489669c6	hyu	Hiragana.	ひゅ			
b5699720-53df-414c-9eb7-7049b36469f5	hyo	Hiragana.	ひょ			
71b6a883-f998-4dbe-a961-01ec6c6248b5	mya	Hiragana.	みゃ			
63a925e1-80bd-4edf-8448-0137192fa3bd	myu	Hiragana.	みゅ			
ae185a22-50fc-4838-8de8-ee1eded0fed3	myo	Hiragana.	みょ			
