ID	YourLanguageWord	YourLanguageExplanation	LanguageYouLearnWord	LanguageYouLearnPronunciation	LanguageYouLearnExplanation	Tags
11601db4-6fd4-4b84-b430-22e7192810b4	a	Katakana.	ア			
0dc30343-30b8-442c-8e7c-99f9e5a46db2	i	Katakana.	イ			
025aeab6-28ff-4c80-b6c0-64e20b0bf47b	u	Katakana.	ウ			
6c39612a-5109-4088-a49e-8a3b680cb4d2	e	Katakana.	エ			
3545ec52-bf61-464f-b42c-81e85f2be622	o	Katakana.	オ			
228b15a3-a899-4260-9cec-6926d74607bc	ka	Katakana.	カ			
016a1136-a18e-412a-8dff-2dcb9a768e88	ki	Katakana.	キ			
0ab3bce1-572c-4a2a-beaa-2d6391820196	ku	Katakana.	ク			
5b92c27c-1fbf-46b7-b141-ea90c694940a	ke	Katakana.	ケ			
73af0911-3666-4cbb-bcce-f3e6170bbd20	ko	Katakana.	コ			
4554c05f-bf8a-4e55-950d-2a4321fbc2cb	sa	Katakana.	サ			
9a9bed44-fe8e-4733-9616-0f4fcfdcc52e	shi	Katakana.	シ			
dedef49d-a778-4180-aee8-fc017a3b44ed	su	Katakana.	ス			
e87e90f4-241e-4eaf-8e17-97cd486f6f1d	se	Katakana.	セ			
e2eb3958-c6fc-4cf5-aa05-cd8b72a5c3b1	so	Katakana.	ソ			
09138de2-6893-42b8-b7ae-b01e77384956	ta	Katakana.	タ			
01a8ea3f-09fa-4cc8-91c9-8db023f4b43e	chi	Katakana.	チ			
067af03e-6cc0-434d-b7ea-2064adb64bf4	tsu	Katakana.	ツ			
a4fd8a7b-03f6-4b1c-9d6d-3b81fa3375ff	te	Katakana.	テ			
d34a4bbe-ce67-40fe-a584-61600665ce96	to	Katakana.	ト			
7cb45c8d-cd0d-40dc-930b-bcb6b8531f95	na	Katakana.	ナ			
e4aea342-9f91-4f72-9be5-4d3b849ca1ee	ni	Katakana.	ニ			
19dbdcbc-66ba-4d87-b4c9-fd5509fa0649	nu	Katakana.	ヌ			
74f606dc-34f0-4d0c-800c-9ea4442971bd	ne	Katakana.	ネ			
bdc51d06-1eda-4700-b525-17ab65a7ad4f	no	Katakana.	ノ			
2bd13576-f1f4-4bd2-911c-03525dca40ba	ha	Katakana.	ハ			
79b8e99b-9278-4b68-bc7c-712667aec2cb	hi	Katakana.	ヒ			
71cc1ee3-d3d7-4c07-8ad7-7b8e7c63773b	fu	Katakana.	フ			
43307482-1cbc-4c92-8e43-8e20f174d473	he	Katakana.	ヘ			
ca0965e0-05bb-488a-b337-b94a2eb33526	ho	Katakana.	ホ			
777b4d54-59ed-4167-9f31-8f22aea41cdd	ma	Katakana.	マ			
b3f19620-b67e-4f8a-b1a6-6d7fade4a381	mi	Katakana.	ミ			
7b01c6f4-b703-4976-b56f-5dc3a4fa1edd	mu	Katakana.	ム			
fa3a32c0-fc64-452b-9ff3-5849309715ea	me	Katakana.	メ			
250117e9-2319-4159-a496-ed0eba5902d1	mo	Katakana.	モ			
84b27954-d676-4b11-8e33-0a3c950e2c92	ya	Katakana.	ヤ			
f5642874-37c7-41d2-bd85-c0982e84cb67	yu	Katakana.	ユ			
062db1dc-893a-4ff5-a756-5892a530bc3e	yo	Katakana.	ヨ			
46425353-4a5d-4658-bb5b-d273528ab904	ra	Katakana.	ラ			
5ec47d36-b29e-4abb-8995-3836bf42f26c	ri	Katakana.	リ			
541984dd-3825-4fd0-ac92-fce20f2613fa	ru	Katakana.	ル			
070e12e6-acbc-43f6-9bc6-054fc8d95cef	re	Katakana.	レ			
85b04068-445f-4507-a9c2-0fd293edc2b9	ro	Katakana.	ロ			
5eecb7db-508a-473e-bd8d-a2e0f32b8b35	wa	Katakana.	ワ			
13ecd1f0-624d-4cf8-92a2-b341a70195ee	o	Katakana.	ヲ			
174a9efe-d197-4d79-9467-dacac507ac1a	n	Katakana.	ン			
8bdee7fe-eed4-4601-acc4-9d31a11326a8	ga	Katakana.	ガ			
a727c446-59f8-4ad5-bebd-ec93003beed3	gi	Katakana.	ギ			
624a5eef-80c1-453c-856b-94fdea8ad32d	gu	Katakana.	グ			
d88011a9-6489-4177-9c61-ef4a5845f840	ge	Katakana.	ゲ			
16b78710-4837-4332-ae08-c594be24ab67	go	Katakana.	ゴ			
51f47441-c6ab-4bc5-8a3d-63fcbab07a63	za	Katakana.	ザ			
